iter	Passed	Remaining
0	220	220506
1	259	129329
2	301	100057
3	337	83967
4	374	74546
5	421	69756
6	456	64785
7	494	61303
8	547	60335
9	601	59595
10	645	58039
11	687	56643
12	737	56023
13	772	54418
14	816	53588
15	853	52498
16	892	51616
17	929	50686
18	965	49875
19	1003	49188
20	1042	48618
21	1078	47933
22	1119	47548
23	1152	46887
24	1188	46333
25	1231	46123
26	1270	45782
27	1306	45354
28	1345	45041
29	1384	44750
30	1425	44559
31	1469	44449
32	1504	44081
33	1540	43771
34	1578	43513
35	1611	43157
36	1654	43070
37	1687	42726
38	1722	42449
39	1764	42336
40	1801	42136
41	1837	41919
42	1876	41766
43	1912	41550
44	1945	41294
45	1983	41137
46	2022	41007
47	2061	40889
48	2099	40741
49	2133	40541
50	2168	40342
51	2211	40314
52	2246	40131
53	2283	39999
54	2318	39827
55	2353	39666
56	2392	39581
57	2427	39424
58	2458	39215
59	2500	39174
60	2535	39034
61	2570	38892
62	2611	38841
63	2646	38709
64	2679	38539
65	2717	38463
66	2752	38335
67	2788	38219
68	2825	38121
69	2859	37985
70	2903	37992
71	2934	37823
72	2969	37703
73	3005	37614
74	3044	37554
75	3078	37423
76	3115	37341
77	3149	37228
78	3187	37158
79	3225	37094
80	3261	37001
81	3294	36879
82	3335	36849
83	3369	36741
84	3403	36639
85	3441	36581
86	3479	36510
87	3510	36382
88	3548	36325
89	3582	36227
90	3615	36119
91	3652	36053
92	3689	35984
93	3725	35908
94	3767	35888
95	3801	35796
96	3835	35705
97	3875	35673
98	3909	35579
99	3942	35485
100	3983	35455
101	4016	35364
102	4050	35277
103	4086	35210
104	4121	35130
105	4160	35092
106	4202	35071
107	4236	34992
108	4271	34914
109	4311	34886
110	4343	34788
111	4380	34730
112	4415	34658
113	4457	34645
114	4500	34631
115	4534	34557
116	4572	34509
117	4610	34461
118	4642	34372
119	4675	34288
120	4717	34272
121	4753	34207
122	4788	34142
123	4826	34099
124	4859	34019
125	4896	33966
126	4930	33895
127	4966	33835
128	5004	33790
129	5042	33749
130	5075	33669
131	5113	33625
132	5149	33568
133	5186	33518
134	5225	33483
135	5260	33416
136	5292	33337
137	5329	33287
138	5363	33224
139	5402	33183
140	5439	33138
141	5471	33059
142	5506	33002
143	5545	32965
144	5578	32894
145	5611	32824
146	5648	32777
147	5682	32712
148	5717	32652
149	5756	32618
150	5787	32542
151	5825	32499
152	5864	32466
153	5899	32411
154	5933	32348
155	5973	32317
156	6007	32258
157	6041	32196
158	6077	32147
159	6111	32084
160	6143	32015
161	6184	31992
162	6224	31963
163	6259	31906
164	6297	31871
165	6331	31811
166	6367	31759
167	6403	31712
168	6438	31657
169	6474	31612
170	6512	31573
171	6545	31507
172	6578	31449
173	6620	31426
174	6654	31369
175	6689	31317
176	6725	31271
177	6759	31215
178	6795	31169
179	6830	31114
180	6864	31061
181	6897	30999
182	6936	30968
183	6971	30918
184	7009	30880
185	7049	30849
186	7084	30801
187	7117	30741
188	7158	30716
189	7191	30658
190	7246	30693
191	7288	30672
192	7324	30626
193	7360	30580
194	7392	30517
195	7426	30462
196	7466	30434
197	7503	30391
198	7535	30331
199	7572	30289
200	7608	30246
201	7648	30215
202	7684	30168
203	7718	30116
204	7749	30054
205	7788	30018
206	7822	29966
207	7857	29920
208	7896	29887
209	7930	29832
210	7967	29793
211	8003	29750
212	8039	29704
213	8073	29652
214	8109	29607
215	8144	29561
216	8180	29519
217	8217	29476
218	8253	29432
219	8295	29411
220	8328	29357
221	8361	29302
222	8398	29264
223	8433	29216
224	8466	29160
225	8503	29122
226	8537	29072
227	8571	29022
228	8609	28987
229	8641	28929
230	8676	28885
231	8730	28900
232	8762	28843
233	8801	28812
234	8835	28762
235	8871	28720
236	8906	28672
237	8944	28637
238	8976	28583
239	9014	28545
240	9049	28501
241	9084	28454
242	9128	28436
243	9163	28390
244	9197	28344
245	9236	28309
246	9271	28265
247	9306	28218
248	9343	28180
249	9377	28131
250	9410	28080
251	9449	28047
252	9494	28033
253	9540	28021
254	9578	27984
255	9610	27931
256	9650	27899
257	9685	27856
258	9720	27809
259	9763	27788
260	9800	27747
261	9835	27705
262	9872	27664
263	9904	27613
264	9942	27576
265	9982	27545
266	10016	27498
267	10049	27448
268	10089	27418
269	10125	27375
270	10162	27337
271	10198	27296
272	10231	27247
273	10264	27197
274	10302	27160
275	10340	27126
276	10377	27085
277	10414	27047
278	10446	26997
279	10482	26955
280	10528	26938
281	10560	26887
282	10596	26847
283	10631	26803
284	10665	26757
285	10701	26717
286	10738	26677
287	10774	26637
288	10810	26595
289	10846	26556
290	10883	26515
291	10920	26479
292	10954	26431
293	10987	26385
294	11025	26349
295	11056	26296
296	11092	26256
297	11129	26217
298	11170	26188
299	11207	26149
300	11245	26116
301	11281	26073
302	11314	26027
303	11350	25987
304	11391	25957
305	11429	25922
306	11468	25889
307	11502	25844
308	11537	25799
309	11577	25770
310	11611	25723
311	11644	25677
312	11686	25650
313	11720	25605
314	11755	25564
315	11792	25524
316	11824	25476
317	11859	25435
318	11898	25401
319	11930	25352
320	11969	25318
321	12005	25279
322	12039	25234
323	12076	25196
324	12114	25161
325	12147	25113
326	12180	25069
327	12220	25037
328	12255	24994
329	12292	24956
330	12327	24915
331	12360	24870
332	12402	24842
333	12437	24801
334	12473	24761
335	12512	24726
336	12549	24688
337	12581	24641
338	12618	24604
339	12654	24564
340	12689	24523
341	12722	24478
342	12768	24456
343	12804	24417
344	12842	24381
345	12875	24336
346	12911	24298
347	12951	24265
348	12985	24222
349	13020	24180
350	13056	24141
351	13092	24102
352	13129	24063
353	13172	24037
354	13207	23996
355	13242	23955
356	13277	23913
357	13311	23870
358	13345	23829
359	13385	23795
360	13418	23752
361	13449	23703
362	13486	23666
363	13520	23623
364	13551	23575
365	13596	23551
366	13628	23505
367	13662	23463
368	13700	23427
369	13736	23389
370	13770	23346
371	13808	23311
372	13843	23269
373	13920	23299
374	14046	23411
375	14177	23528
376	14238	23530
377	14274	23489
378	14313	23452
379	14347	23408
380	14380	23364
381	14417	23324
382	14453	23284
383	14490	23245
384	14537	23221
385	14577	23188
386	14612	23146
387	14651	23109
388	14684	23064
389	14721	23026
390	14755	22982
391	14789	22938
392	14824	22896
393	14862	22859
394	14898	22819
395	14934	22778
396	14972	22742
397	15006	22698
398	15051	22671
399	15086	22630
400	15119	22585
401	15157	22547
402	15191	22504
403	15236	22478
404	15290	22464
405	15330	22429
406	15386	22417
407	15424	22380
408	15473	22358
409	15531	22350
410	15585	22336
411	15628	22305
412	15673	22276
413	15720	22251
414	15781	22246
415	15856	22259
416	15912	22247
417	15965	22229
418	16007	22196
419	16044	22157
420	16081	22116
421	16116	22074
422	16155	22036
423	16187	21990
424	16225	21952
425	16265	21916
426	16303	21877
427	16338	21835
428	16377	21798
429	16410	21753
430	16443	21708
431	16498	21692
432	16533	21649
433	16569	21609
434	16603	21565
435	16638	21523
436	16675	21483
437	16709	21440
438	16743	21396
439	16781	21358
440	16817	21317
441	16853	21276
442	16892	21239
443	16925	21194
444	16959	21152
445	16997	21113
446	17038	21079
447	17078	21043
448	17113	21001
449	17149	20960
450	17199	20936
451	17244	20906
452	17288	20876
453	17335	20848
454	17384	20823
455	17439	20805
456	17509	20804
457	17556	20776
458	17600	20744
459	17650	20719
460	17685	20677
461	17725	20640
462	17757	20595
463	17795	20556
464	17842	20528
465	17880	20489
466	17912	20443
467	17950	20405
468	17986	20364
469	18025	20326
470	18063	20287
471	18124	20274
472	18189	20265
473	18247	20249
474	18298	20225
475	18334	20183
476	18371	20143
477	18406	20101
478	18446	20063
479	18483	20024
480	18518	19980
481	18550	19936
482	18588	19897
483	18623	19855
484	18665	19819
485	18700	19777
486	18734	19734
487	18774	19698
488	18811	19657
489	18844	19613
490	18880	19572
491	18916	19531
492	18950	19488
493	18987	19449
494	19026	19410
495	19062	19370
496	19101	19332
497	19140	19294
498	19194	19271
499	19238	19238
500	19301	19224
501	19339	19185
502	19373	19142
503	19411	19103
504	19482	19097
505	19583	19119
506	19629	19087
507	19666	19047
508	19704	19007
509	19736	18962
510	19773	18922
511	19809	18880
512	19845	18839
513	19882	18799
514	19914	18754
515	19955	18717
516	19993	18678
517	20030	18638
518	20067	18597
519	20106	18560
520	20142	18518
521	20180	18479
522	20211	18433
523	20245	18390
524	20285	18353
525	20319	18310
526	20358	18272
527	20393	18230
528	20428	18188
529	20469	18152
530	20506	18112
531	20544	18072
532	20581	18032
533	20619	17993
534	20651	17949
535	20686	17907
536	20723	17867
537	20760	17827
538	20798	17788
539	20834	17747
540	20868	17705
541	20904	17664
542	20938	17622
543	20973	17580
544	21014	17544
545	21047	17500
546	21082	17459
547	21120	17420
548	21160	17383
549	21196	17342
550	21231	17301
551	21265	17258
552	21302	17219
553	21337	17177
554	21372	17136
555	21409	17096
556	21441	17052
557	21473	17009
558	21510	16970
559	21549	16931
560	21583	16889
561	21619	16849
562	21654	16808
563	21691	16768
564	21728	16729
565	21759	16685
566	21795	16644
567	21832	16605
568	21867	16564
569	21900	16521
570	21936	16481
571	21976	16444
572	22014	16405
573	22051	16365
574	22086	16325
575	22128	16289
576	22162	16247
577	22195	16204
578	22232	16165
579	22268	16125
580	22301	16083
581	22335	16041
582	22370	16000
583	22408	15962
